track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,3xybjP7r2VsWzwvDQipdM0,278179,25-08-2017,81,0.658,0.294,4,-8.533,0,0.0321,0.422,5.20E-05,0.0749,0.358,74.038,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
2wBCrtJS3E3TimRZ5MElTI,The Worst,5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,73TNMu44lT0m1h1Nn6Bfiq,254493,01-01-2013,72,0.539,0.414,1,-9.156,0,0.0601,0.253,1.30E-06,0.143,0.123,94.895,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
4NYwy0R3NdvORX2B6OZXBT,Slow Motion,2iojnBLj0qIMiKPvVhLnsH,Trey Songz,3pKTKC0AAe3yTcXQLzvpSW,197854,23-06-2015,72,0.733,0.408,7,-7.834,0,0.0388,0.679,3.92E-05,0.11,0.291,94.947,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
4NYwy0R3NdvORX2B6OZXBT,Slow Motion,2iojnBLj0qIMiKPvVhLnsH,Trey Songz,3pKTKC0AAe3yTcXQLzvpSW,197854,23-06-2015,72,0.733,0.408,7,-7.834,0,0.0388,0.679,3.92E-05,0.11,0.291,94.947,37i9dQZF1DWWWvWJNPeyJE,Sexy R&B
1B6TmCvKjC4dopBohVW51x,B.E.D.,4tMm1dU6Gn04VAZ9ClHcIZ,Jacquees,03AdJ15pTDdmxry6qkKwlO,236146,07-09-2018,72,0.739,0.536,1,-6.501,1,0.0587,0.00368,0,0.0968,0.193,122.022,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
0rFZaQ4crlGAzuCjWCQ2xu,Body Party,2NdeV5rLm47xAvogXrYhJX,Ciara,1ZhBKlFwsI2ppVo8LivPyG,234040,05-07-2013,67,0.577,0.576,2,-6.299,1,0.0563,0.0143,0,0.602,0.12,133.973,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
0rFZaQ4crlGAzuCjWCQ2xu,Body Party,2NdeV5rLm47xAvogXrYhJX,Ciara,1ZhBKlFwsI2ppVo8LivPyG,234040,05-07-2013,67,0.577,0.576,2,-6.299,1,0.0563,0.0143,0,0.602,0.12,133.973,37i9dQZF1DWWWvWJNPeyJE,Sexy R&B
3fBbfrWZUuWWrMQXFISr7N,New Flame (feat. Usher & Rick Ross),7bXgB6jMjp9ATFy66eO08Z,Chris Brown,3LByoNjO4gbuX5D0u26LDY,244226,16-09-2014,69,0.702,0.629,1,-4.292,1,0.041,0.0506,0,0.0963,0.446,141.967,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
3tZs3nVjySLbL320lP4mvs,Focus,3Y7RZ31TRPVadSFVy1o8os,H.E.R.,0pV0Mx07aMApIpF19oSQgY,200133,20-10-2017,66,0.415,0.313,1,-12.945,0,0.0561,0.255,1.40E-05,0.117,0.0875,84.953,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
3nXrCAE44KlevAkQB2XWcN,Gonna Love Me,4ULO7IGI3M2bo0Ap7B9h8a,Teyana Taylor,0mwf6u9KVhZDCNVyIi6JuU,166997,23-06-2018,70,0.514,0.506,10,-7.095,0,0.28,0.402,2.56E-05,0.191,0.312,88.044,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
5WoaF1B5XIEnWfmb5NZikf,Sky Walker (feat. Travis Scott),360IAlyVv4PCEVjgyMZrxK,Miguel,05LEST8E8mkEIl2LRfUkcI,259333,01-12-2017,75,0.674,0.506,6,-10.532,1,0.0434,0.173,0,0.0866,0.183,145.965,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
0vvKyFjX1hzSwpNtVwnJ2H,Can't Raise a Man,2retT7MFwHDVTeGKDdybEx,K. Michelle,6fGZwUN91Qe5h8xFcLV487,208040,05-08-2013,58,0.623,0.677,5,-5.215,1,0.0639,0.0233,0,0.0724,0.182,151.804,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
0vvKyFjX1hzSwpNtVwnJ2H,Can't Raise a Man,2retT7MFwHDVTeGKDdybEx,K. Michelle,6fGZwUN91Qe5h8xFcLV487,208040,05-08-2013,58,0.623,0.677,5,-5.215,1,0.0639,0.0233,0,0.0724,0.182,151.804,37i9dQZF1DWTUHzPOW6Jl7,Energy Booster: R&B
0fgZUSa7D7aVvv3GfO0A1n,Post to Be (feat. Chris Brown & Jhene Aiko),0f5nVCcR06GX8Qikz0COtT,Omarion,13QoXGJgs22WiDG1NWT00D,226580,02-12-2014,72,0.733,0.676,10,-5.655,0,0.0432,0.0697,0,0.208,0.701,97.448,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
152lZdxL1OR0ZMW6KquMif,Location,6LuN9FCkKOj5PcnpouEgny,Khalid,6kf46HbnYCZzP6rjvQHYzg,219080,27-04-2017,79,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
42qh86p7TLXyumxSHn65kc,Party (feat. André 3000),6vWDO969PvNqNYHIOW5v0m,Beyoncé,1gIC63gC3B7o7FfpPACZQJ,245480,24-06-2011,62,0.648,0.593,10,-6.267,1,0.0506,0.0188,0,0.169,0.712,160.979,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
42qh86p7TLXyumxSHn65kc,Party (feat. André 3000),6vWDO969PvNqNYHIOW5v0m,Beyoncé,1gIC63gC3B7o7FfpPACZQJ,245480,24-06-2011,62,0.648,0.593,10,-6.267,1,0.0506,0.0188,0,0.169,0.712,160.979,37i9dQZF1DX1wNY9tfWQsS,Women of R&B
2IpGdrWvIZipmaxo1YRxw5,Bottoms Up (feat. Nicki Minaj),2iojnBLj0qIMiKPvVhLnsH,Trey Songz,5Qex4ioxOJfHrnsWbt8Zlj,242013,13-09-2010,1,0.845,0.601,1,-5.283,1,0.161,0.0205,0,0.385,0.329,74.008,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
7DfFc7a6Rwfi3YQMRbDMau,Thinkin Bout You,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,392p3shh2jkxUxY2VHvlH8,200746,10-07-2012,73,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
6XDSSxwOntlKPkE6wVzucb,Put It Down (feat. Chris Brown),05oH07COxkXKIMt6mIPRee,Brandy,41PwFUEt9XE3Cz0H8RA7vU,246213,15-10-2012,57,0.761,0.413,0,-8.104,1,0.195,0.019,0,0.0829,0.595,141.056,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
6rbhWExtuchhpLC5fHnB8n,Motivation,3AuMNF8rQAKOzjYppFNAoB,Kelly Rowland,673D6VTmxJquUg31Wq1j0S,230560,01-01-2011,67,0.744,0.672,9,-5.589,0,0.0418,0.187,0.000123,0.105,0.266,140.889,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
6g0Orsxv6glTJCt4cHsRsQ,Formation,6vWDO969PvNqNYHIOW5v0m,Beyoncé,7dK54iZuOxXFarGhXwEXfF,206080,23-04-2016,74,0.896,0.621,5,-6.857,0,0.237,0.00532,0,0.196,0.818,121.966,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
6g0Orsxv6glTJCt4cHsRsQ,Formation,6vWDO969PvNqNYHIOW5v0m,Beyoncé,7dK54iZuOxXFarGhXwEXfF,206080,23-04-2016,74,0.896,0.621,5,-6.857,0,0.237,0.00532,0,0.196,0.818,121.966,37i9dQZF1DWTUHzPOW6Jl7,Energy Booster: R&B
