"danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","genre","popularity","target"
0.725,0.366,0.7713,1,0.0427,0.554,1e-04,0.0757,0.827,0.4415,0.0355,4,7,67,0
0.663,0.638,0.764,1,0.0592,0.691,0,0.302,0.869,0.4949,0.0316,4,11,72,1
0.763,0.344,0.6658,1,0.0399,0.896,0.876,0.105,0.792,0.3516,0.0351,4,9,59,1
0.415,0.719,0.7434,1,0.0395,0.357,0,0.0988,0.938,0.7581,0.022,5,2,48,1
0.405,0.341,0.5435,1,0.0517,0.838,0.911,0.0748,0.147,0.3412,0.0275,4,6,70,0
0.531,0.641,0.7623,1,0.0313,0.193,0,0.25,0.768,0.5289,0.0358,4,5,34,1
0.575,0.0722,0.5514,1,0.0322,0.788,0,0.0672,0.356,0.464,0.0309,4,3,65,0
0.563,0.289,0.8063,0,0.0345,0.961,0.0016,0.114,0.294,0.4907,0.0379,4,1,70,1
0.599,0.363,0.6646,1,0.197,0.75,0,0.118,0.586,0.4413,0.0418,4,2,67,1
0.625,0.306,0.6917,1,0.0285,0.661,0.0017,0.0907,0.393,0.4133,0.0537,3,7,70,1
0.39,0.102,0.6287,1,0.036,0.951,0.917,0.121,0.075,0.4803,0.0413,4,3,13,0
0.186,0.171,0.669,0,0.0347,0.83,0,0.39,0.151,0.7278,0.0585,3,9,34,1
0.52,0.495,0.6839,1,0.042,0.283,0.694,0.0893,0.422,0.5186,0.0278,4,2,50,1
0.347,0.331,0.7313,1,0.0314,0.307,1e-04,0.176,0.361,0.5042,0.0366,4,6,40,1
0.523,0.402,0.774,1,0.0305,0.778,0,0.432,0.675,0.2935,0.0355,4,1,72,1
0.415,0.359,0.72,1,0.0334,0.707,1e-04,0.319,0.404,0.6049,0.042,4,8,43,1
0.413,0.725,0.8202,0,0.0324,0.369,0,0.0905,0.44,0.5162,0.0998,4,12,77,1
0.567,0.492,0.6458,1,0.0388,0.714,0.221,0.2,0.791,0.4606,0.0395,4,9,50,1
0.515,0.419,0.7228,1,0.0266,0.802,0,0.168,0.519,0.4231,0.0271,3,1,33,1
0.471,0.021,0.4692,1,0.0366,0.931,0,0.103,0.356,0.4464,0.036,3,1,64,1
0.383,0.478,0.736,1,0.0287,0.54,0,0.123,0.341,0.4078,0.0328,3,1,67,1
0.385,0.473,0.7836,1,0.0299,0.764,0,0.284,0.541,0.5326,0.0263,4,1,35,1
0.767,0.678,0.7714,1,0.0381,0.651,0,0.137,0.977,0.631,0.0397,4,1,34,0
0.66,0.404,0.6801,1,0.0435,0.837,1e-04,0.125,0.263,0.4756,0.0394,3,6,32,1
0.753,0.528,0.7055,0,0.0337,0.047,0,0.0474,0.963,0.4786,0.0373,4,3,45,1
0.649,0.502,0.7123,1,0.0361,0.663,0,0.659,0.844,0.4985,0.0297,4,9,27,1
0.582,0.377,0.7329,1,0.0286,0.629,0,0.0922,0.675,0.4009,0.0398,4,6,72,1
0.424,0.536,0.7299,1,0.0268,0.426,0.753,0.108,0.726,0.4005,0.0365,4,3,32,1
0.621,0.524,0.6412,1,0.0803,0.0652,0.002,0.893,0.889,0.4581,0.0355,4,2,79,1
0.662,0.512,0.7806,1,0.0704,0.416,0.836,0.118,0.943,0.62,0.0338,4,6,1,1
0.271,0.208,0.7176,1,0.0314,0.9,1e-04,0.334,0.112,0.3626,0.0536,3,3,59,1
0.298,0.37,0.6399,1,0.0435,0.567,2e-04,0.937,0.238,0.3678,0.0443,4,6,80,1
0.665,0.823,0.8138,1,0.055,0.231,0,0.0869,0.719,0.4768,0.043,4,4,30,1
0.529,0.673,0.8054,1,0.0389,0.597,0,0.14,0.833,0.4962,0.0328,4,6,62,1
0.736,0.394,0.6767,1,0.0343,0.602,0.94,0.104,0.827,0.5105,0.0409,4,6,59,0
0.4,0.455,0.7279,1,0.0338,0.374,0,0.246,0.532,0.4785,0.0311,4,1,49,0
0.392,0.304,0.7056,0,0.0428,0.936,0.166,0.0908,0.198,0.3233,0.0741,4,6,49,0
0.206,0.183,0.6094,0,0.0426,0.948,0.565,0.135,0.183,0.297,0.0421,4,6,0,0
0.348,0.107,0.4993,0,0.0306,0.933,0.887,0.1,0.115,0.2436,0.0652,4,1,54,0
0.341,0.708,0.7319,1,0.101,0.354,0.749,0.355,0.736,0.3589,0.0371,4,3,36,0
0.681,0.638,0.7818,1,0.0367,0.699,6e-04,0.0581,0.677,0.4013,0.0301,4,2,79,1
0.326,0.543,0.7343,1,0.0379,0.537,0,0.184,0.39,0.4332,0.0398,3,2,49,1
0.384,0.303,0.7541,1,0.027,0.516,0,0.185,0.269,0.4587,0.0335,3,1,58,1
0.625,0.502,0.7552,1,0.0273,0.246,0,0.614,0.965,0.4241,0.0345,4,11,62,1
0.639,0.315,0.6932,1,0.0258,0.882,8e-04,0.139,0.711,0.4307,0.036,4,4,53,1
